PVMonth,PVDay,PVHour,TotalkWh,AvgkWh,MaxkWh,MinkWh,ProdkWh62032213_2019,ProdkWh62032213_2020,ProdkWh62032213_2021,ProdkWh62032213_2022,ProdkWh84071567_2019,ProdkWh84071567_2020,ProdkWh84071567_2021,ProdkWh84071567_2022,ProdkWh84071569_2019,ProdkWh84071569_2020,ProdkWh84071569_2021,ProdkWh84071569_2022,ProdkWh84071570_2019,ProdkWh84071570_2020,ProdkWh84071570_2021,ProdkWh84071570_2022
6,21,10,83.81,5.24,8.7,0.0,3.19,7.79,2.0,3.79,5.48,4.5,4.4,4.79,6.89,0.0,5.79,7.44,8.7,7.95,6.15,4.95
6,21,11,115.45,7.22,11.4,0.0,7.39,10.78,2.99,3.99,9.0,8.32,7.04,6.85,9.65,0.0,5.51,10.48,11.4,9.45,9.0,3.6
6,21,12,142.39,8.9,13.2,0.0,12.98,12.78,3.39,5.19,12.03,11.64,8.8,6.16,12.13,0.0,4.41,12.68,13.2,12.6,10.05,4.35
6,21,13,160.96,10.06,14.37,0.0,14.37,13.78,4.39,6.99,13.79,13.4,9.1,10.57,14.06,0.0,6.07,13.79,13.95,13.5,9.75,3.45
6,21,14,161.65,10.1,15.17,0.0,15.17,14.17,3.99,5.79,14.67,14.09,12.13,7.34,14.61,0.0,3.03,14.06,14.1,13.5,10.65,4.35
6,21,15,175.61,10.98,14.34,4.59,13.98,13.58,5.19,4.59,13.6,13.99,11.54,10.08,14.34,11.31,6.07,13.24,13.65,12.75,8.4,9.3
6,21,16,175.06,10.94,14.18,5.79,12.98,12.38,5.79,7.79,14.18,13.4,11.74,11.25,13.24,12.41,6.07,12.13,12.0,11.25,7.8,10.65
6,21,17,154.55,9.66,12.62,1.8,10.38,10.78,1.8,6.19,12.62,11.74,11.84,11.74,10.75,11.03,10.2,9.93,9.6,9.0,6.9,10.05
6,21,18,111.65,6.98,10.17,3.19,7.79,7.79,3.59,3.19,10.17,9.29,7.83,8.9,8.55,8.27,5.24,6.89,6.6,5.7,6.0,5.85
6,21,19,61.37,3.84,6.36,1.4,3.59,4.39,3.79,1.4,6.36,5.87,4.11,4.5,4.96,4.41,3.03,3.86,2.7,2.55,3.6,2.25
6,21,20,18.96,1.18,1.86,0.6,1.2,1.0,1.4,0.6,1.86,1.66,1.57,0.98,1.38,1.38,1.38,1.1,0.9,0.75,0.9,0.9
6,21,21,4.25,0.27,0.4,0.0,0.4,0.2,0.4,0.2,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.0,0.3,0.3,0.15,0.3
6,22,7,2.44,0.15,0.28,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.1,0.1,0.28,0.0,0.28,0.28,0.15,0.15,0.15,0.15
6,22,8,15.34,0.96,1.8,0.0,0.8,0.8,1.0,0.4,0.68,0.59,0.98,0.68,1.1,0.0,1.38,1.38,1.8,1.35,1.8,0.6
6,22,9,49.99,3.12,5.85,0.0,3.99,3.79,3.99,0.8,1.86,1.57,2.15,1.86,3.58,0.0,4.69,3.86,4.95,4.65,5.85,2.4
6,22,10,88.08,5.5,7.95,0.0,7.79,7.79,7.39,2.2,5.38,5.18,2.84,3.33,6.07,0.0,7.44,7.17,7.95,7.95,6.9,2.7
